"Carimbo de data/hora","Carapanaúba é o nome dado para:","O Arumã é usado para:","Os Yanomami usam cestos para transportar itens pela floresta?","O Yãkoana é usado para :","O Jenipapo é:","Um algoritmo que testa todas as combinações possíveis é:  ","A complexidade do Problema do Cesto cresce:  ","Um algorítimo que escolhe a melhor solução local é:"
"2025/10/14 4:19:00 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Rapido","Exponencialmente","Guloso"
"2025/10/14 4:19:12 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/14 4:21:24 PM GMT-3","Arvore","Artesanato","Sim","Não tenho certeza","Uma Planta","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:21:43 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:22:22 PM GMT-3","Arvore","Artesanato","Sim","Alimentação","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:23:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/14 4:23:35 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Uma Planta","Lento","Exponencialmente","Guloso"
"2025/10/14 4:24:16 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","sub-ótimo","Exponencialmente","Guloso"
"2025/10/14 4:27:48 PM GMT-3","Arvore","Artesanato","Sim","Não tenho certeza","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/14 4:32:03 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/14 4:33:05 PM GMT-3","Planta","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:32:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Uma Planta","Lento","Exponencialmente","Guloso"
"2025/10/17 2:34:08 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:34:12 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:35:51 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:35:53 PM GMT-3","Planta","Alimentação","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:37:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 2:41:43 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 2:46:11 PM GMT-3","Arvore","Rituais","Sim","Artesanato","Uma Planta","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:47:54 PM GMT-3","Arvore","Rituais","Sim","Artesanato","Uma Planta","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:52:18 PM GMT-3","Arvore","Rituais","Sim","Alimentação","Um Fruto","Otimo","De forma quadrática","Guloso"
"2025/10/17 2:55:36 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 2:55:54 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","subótimo"
"2025/10/17 2:56:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 2:56:44 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","De forma quadrática","Guloso"
"2025/10/17 2:57:32 PM GMT-3","Arvore","Rituais","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 3:00:40 PM GMT-3","Planta","Rituais","Sim","Não tenho certeza","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 3:01:55 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 3:04:00 PM GMT-3","Arvore","Rituais","Sim","Artesanato","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 4:12:10 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 4:15:21 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 4:17:28 PM GMT-3","Arvore","Alimentação","Sim","Rituais","Um Fruto","sub-ótimo","Exponencialmente","Guloso"
"2025/10/17 4:22:00 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 4:24:49 PM GMT-3","Planta","Artesanato","Sim","Não tenho certeza","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 4:39:06 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 4:40:34 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Guloso"
"2025/10/17 4:40:45 PM GMT-3","Arvore","Artesanato","Não","Não tenho certeza","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 4:58:37 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Dinamico"
"2025/10/21 3:54:50 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Guloso"