"Carimbo de data/hora","Os Yanomami falam todos a mesma língua","Os Yanomami vivem exclusivamente na floresta amazônica brasileira","Os Yanomami usam cestos para transportar itens pela floresta?","O Yãkoana é usado para :","Maturacá é o nome de uma:","Um algoritmo que testa todas as combinações possíveis é:  ","A complexidade do problema do caminho dos povos é:  ","Um algorítimo que escolhe a melhor solução local é:"
"2025/11/04 10:06:47 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:07:02 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Uma planta","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:09:44 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:09:47 AM GMT-3","Falso","Falso","Não tenho certeza","Não tenho certeza","Uma planta","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:09:50 AM GMT-3","Falso","Verdadeiro","Sim","Rituais","Não tenho certeza","Força-Bruta","Exponencialmente","Backtracking"
"2025/11/04 10:09:51 AM GMT-3","Falso","Falso","Sim","Não tenho certeza","Não tenho certeza","Força-Bruta","Não tenho certeza","Guloso"
"2025/11/04 10:10:35 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:10:46 AM GMT-3","Verdadeiro","Falso","Sim","Rituais","Um Fruto","Força-Bruta","Exponencialmente","Dinamico"
"2025/11/04 10:10:55 AM GMT-3","Verdadeiro","Falso","Não tenho certeza","Artesanato","Uma planta","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:10:56 AM GMT-3","Falso","Verdadeiro","Sim","Não tenho certeza","Não tenho certeza","Força-Bruta","Exponencialmente","Backtracking"
"2025/11/04 10:11:04 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza"
"2025/11/04 10:11:30 AM GMT-3","Falso","Falso","Sim","Rituais","Um Fruto","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:11:33 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","Não tenho certeza","Não tenho certeza"
"2025/11/04 10:11:44 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","Exponencialmente","Não tenho certeza"
"2025/11/04 10:12:15 AM GMT-3","Não tenho certeza","Falso","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:12:41 AM GMT-3","Falso","Falso","Sim","Rituais","Um Fruto","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:13:16 AM GMT-3","Falso","Falso","Sim","Alimentação","Um Fruto","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:13:17 AM GMT-3","Falso","Falso","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","Não tenho certeza","Guloso"
"2025/11/04 10:13:19 AM GMT-3","Falso","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","Não tenho certeza","Guloso"
"2025/11/04 10:13:19 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:14:13 AM GMT-3","Falso","Falso","Sim","Rituais","Não tenho certeza","Força-Bruta","Não tenho certeza","Guloso"
"2025/11/04 10:14:13 AM GMT-3","Falso","Falso","Sim","Artesanato","Uma Planta","Guloso","Exponencialmente","Dinamico"
"2025/11/04 10:14:14 AM GMT-3","Não tenho certeza","Falso","Não tenho certeza","Não tenho certeza","Uma Planta","Guloso","Exponencialmente","Dinamico"
"2025/11/04 10:15:04 AM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Uma Planta","Força-Bruta","fatorialmene","Não tenho certeza"
"2025/11/04 10:17:53 AM GMT-3","Falso","Verdadeiro","Sim","Rituais","Um Fruto","Força-Bruta","Exponencialmente","Guloso"
"2025/11/04 10:52:46 AM GMT-3","Falso","Falso","Não tenho certeza","Não tenho certeza","Não tenho certeza","Força-Bruta","Não tenho certeza","Não tenho certeza"
"2025/11/04 10:55:00 AM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Um Fruto","Força-Bruta","fatorialmene","Guloso"
"2025/11/04 10:55:48 AM GMT-3","Falso","Falso","Sim","Alimentação","Uma Planta","Força-Bruta","fatorialmene","Guloso"