"Carimbo de data/hora","Carapanaúba é o nome dado para:","O Arumã é usado para:","Os Yanomami usam cestos para transportar itens pela floresta?","O Yãkoana é usado para :","O Jenipapo é:","Um algoritmo que testa todas as combinações possíveis é:  ","A complexidade do problema da Mochila cresce:  ","Um algorítimo que escolhe a melhor solução local é:"
"2025/10/14 3:13:30 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Um Fruto","sub-ótimo","Exponencialmente","Dinamico"
"2025/10/14 3:14:31 PM GMT-3","Planta","Alimentação","Não tenho certeza","Artesanato","Um Fruto","Lento","Não tenho certeza","Dinamico"
"2025/10/14 3:15:07 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Não tenho certeza","Guloso"
"2025/10/14 3:15:56 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Não tenho certeza","Guloso"
"2025/10/14 3:16:44 PM GMT-3","Planta","Artesanato","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Backtracking"
"2025/10/14 3:17:03 PM GMT-3","Planta","Alimentação","Sim","Artesanato","Uma Planta","Otimo","Exponencialmente","Dinamico"
"2025/10/14 3:17:11 PM GMT-3","Planta","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza"
"2025/10/14 3:18:37 PM GMT-3","Arvore","Alimentação","Não","Artesanato","Um Fruto","Lento","De forma quadrática","Guloso"
"2025/10/14 3:19:53 PM GMT-3","Peixe","Rituais","Sim","Alimentação","Uma Planta","Lento","Logaritmicamente","Guloso"
"2025/10/14 3:21:46 PM GMT-3","Peixe","Rituais","Sim","Artesanato","Um Fruto","Lento","Exponencialmente","Dinamico"
"2025/10/14 3:23:45 PM GMT-3","Arvore","Alimentação","Sim","Artesanato","Um Fruto","Lento","Linearmente com o número de itens","Guloso"
"2025/10/14 3:24:27 PM GMT-3","Arvore","Artesanato","Sim","Rituais","Um Fruto","Não tenho certeza","Linearmente com o número de itens","Guloso"
"2025/10/14 3:30:08 PM GMT-3","Planta","Artesanato","Sim","Alimentação","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 1:39:02 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Não tenho certeza","Otimo","Não tenho certeza","Guloso"
"2025/10/17 1:39:03 PM GMT-3","Peixe","Alimentação","Sim","Artesanato","Um Fruto","Não tenho certeza","Não tenho certeza","Não tenho certeza"
"2025/10/17 1:39:08 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","De forma quadrática","Guloso"
"2025/10/17 1:40:04 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Não tenho certeza","Dinamico"
"2025/10/17 1:42:03 PM GMT-3","Planta","Alimentação","Sim","Artesanato","Um Fruto","Lento","Não tenho certeza","Não tenho certeza"
"2025/10/17 1:42:05 PM GMT-3","Arvore","Alimentação","Sim","Rituais","Uma Planta","Lento","Linearmente com o número de itens","Guloso"
"2025/10/17 1:42:43 PM GMT-3","Planta","Alimentação","Não tenho certeza","Artesanato","Uma Planta","Lento","Não tenho certeza","Dinamico"
"2025/10/17 1:43:11 PM GMT-3","Peixe","Rituais","Sim","Artesanato","Não tenho certeza","Não tenho certeza","Exponencialmente","Não tenho certeza"
"2025/10/17 1:43:58 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Não tenho certeza","Lento","Não tenho certeza","Não tenho certeza"
"2025/10/17 1:44:40 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Linearmente com o número de itens","Guloso"
"2025/10/17 1:44:41 PM GMT-3","Peixe","Alimentação","Sim","Rituais","Um Fruto","Lento","Exponencialmente","Dinamico"
"2025/10/17 1:44:47 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Exponencialmente","Guloso"
"2025/10/17 1:44:58 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Uma Planta","Lento","Não tenho certeza","Guloso"
"2025/10/17 1:46:24 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Otimo","Exponencialmente","Guloso"
"2025/10/17 1:47:00 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Não tenho certeza","Guloso"
"2025/10/17 1:48:16 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Não tenho certeza","Lento","Não tenho certeza","Guloso"
"2025/10/17 1:48:22 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Dinamico"
"2025/10/17 2:36:45 PM GMT-3","Planta","Artesanato","Sim","Rituais","Um Fruto","Otimo","Exponencialmente","Sub-ótimo"
"2025/10/17 3:23:42 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Não tenho certeza","Lento","Exponencialmente","Guloso"
"2025/10/17 3:24:32 PM GMT-3","Arvore","Artesanato","Sim","Alimentação","Um Fruto","Lento","Exponencialmente","Guloso"
"2025/10/17 3:24:40 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Um Fruto","Lento","Não tenho certeza","Backtracking"
"2025/10/17 3:25:12 PM GMT-3","Planta","Alimentação","Não tenho certeza","Não tenho certeza","Não tenho certeza","Lento","Exponencialmente","Guloso"
"2025/10/17 3:25:46 PM GMT-3","Arvore","Não tenho certeza","Sim","Artesanato","Não tenho certeza","Lento","Não tenho certeza","Guloso"
"2025/10/17 3:27:39 PM GMT-3","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","Não tenho certeza","sub-ótimo","Não tenho certeza","Guloso"
"2025/10/17 3:28:29 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Um Fruto","Lento","Não tenho certeza","Guloso"
"2025/10/17 3:34:19 PM GMT-3","Não tenho certeza","Não tenho certeza","Sim","Não tenho certeza","Não tenho certeza","Lento","Linearmente com o número de itens","Guloso"
"2025/10/29 8:20:12 PM GMT-3","Planta","Artesanato","Sim","Alimentação","Um Animal","Otimo","Não tenho certeza","Dinamico"